week,day,slot,post_type,pillar,hook,draft_copy,best_window_et,notes
1,Monday,1,launch_intro,pillar_1,"{{W1_MON_HOOK}}","{{W1_MON_DRAFT}}","9:00-11:00 AM","Story angle and why now"
1,Tuesday,1,demo_proof,pillar_2,"{{W1_TUE_HOOK}}","{{W1_TUE_DRAFT}}","2:00-4:00 PM","Use screenshot, clip, or product proof"
1,Wednesday,1,reply_chain,engagement,"{{W1_WED_TARGET}}","{{W1_WED_DRAFT}}","Morning","Reply to 3-5 aligned accounts"
1,Thursday,1,user_problem,pillar_3,"{{W1_THU_HOOK}}","{{W1_THU_DRAFT}}","9:00-11:00 AM","Frame the pain, not the feature"
1,Friday,1,community_event,pillar_4,"{{W1_FRI_HOOK}}","{{W1_FRI_DRAFT}}","Morning","Invite to AMA, demo, or feedback loop"
1,Saturday,1,quote_tweet,engagement,"{{W1_SAT_TARGET}}","{{W1_SAT_DRAFT}}","Afternoon","Insert into a live ecosystem conversation"
1,Sunday,1,thread,pillar_1,"{{W1_SUN_HOOK}}","{{W1_SUN_DRAFT}}","Mid-morning","Longer positioning thread"
2,Monday,1,demo_proof,pillar_2,"{{W2_MON_HOOK}}","{{W2_MON_DRAFT}}","9:00-11:00 AM","Show progress, not only claims"
2,Tuesday,1,short_take,pillar_3,"{{W2_TUE_HOOK}}","{{W2_TUE_DRAFT}}","2:00-4:00 PM","Short user-pain reminder"
2,Wednesday,1,reply_chain,engagement,"{{W2_WED_TARGET}}","{{W2_WED_DRAFT}}","Morning",""
2,Thursday,1,market_frame,pillar_1,"{{W2_THU_HOOK}}","{{W2_THU_DRAFT}}","9:00-11:00 AM","Make the wedge legible"
2,Friday,1,community_event,pillar_4,"{{W2_FRI_HOOK}}","{{W2_FRI_DRAFT}}","Morning",""
2,Saturday,1,proof_post,pillar_2,"{{W2_SAT_HOOK}}","{{W2_SAT_DRAFT}}","Afternoon","Use numbers, screenshots, or a user story"
2,Sunday,1,thread,pillar_3,"{{W2_SUN_HOOK}}","{{W2_SUN_DRAFT}}","Mid-morning","Deep-dive or FAQ thread"
3,Monday,1,launch_refresh,pillar_1,"{{W3_MON_HOOK}}","{{W3_MON_DRAFT}}","9:00-11:00 AM","Reframe with stronger clarity"
3,Tuesday,1,demo_proof,pillar_2,"{{W3_TUE_HOOK}}","{{W3_TUE_DRAFT}}","2:00-4:00 PM",""
3,Wednesday,1,reply_chain,engagement,"{{W3_WED_TARGET}}","{{W3_WED_DRAFT}}","Morning",""
3,Thursday,1,user_problem,pillar_3,"{{W3_THU_HOOK}}","{{W3_THU_DRAFT}}","9:00-11:00 AM",""
3,Friday,1,community_event,pillar_4,"{{W3_FRI_HOOK}}","{{W3_FRI_DRAFT}}","Morning",""
3,Saturday,1,quote_tweet,engagement,"{{W3_SAT_TARGET}}","{{W3_SAT_DRAFT}}","Afternoon",""
3,Sunday,1,thread,pillar_2,"{{W3_SUN_HOOK}}","{{W3_SUN_DRAFT}}","Mid-morning","Proof or teardown thread"
4,Monday,1,proof_post,pillar_2,"{{W4_MON_HOOK}}","{{W4_MON_DRAFT}}","9:00-11:00 AM",""
4,Tuesday,1,short_take,pillar_1,"{{W4_TUE_HOOK}}","{{W4_TUE_DRAFT}}","2:00-4:00 PM",""
4,Wednesday,1,reply_chain,engagement,"{{W4_WED_TARGET}}","{{W4_WED_DRAFT}}","Morning",""
4,Thursday,1,market_frame,pillar_3,"{{W4_THU_HOOK}}","{{W4_THU_DRAFT}}","9:00-11:00 AM",""
4,Friday,1,community_event,pillar_4,"{{W4_FRI_HOOK}}","{{W4_FRI_DRAFT}}","Morning","Invite users/builders into the loop"
4,Saturday,1,quote_tweet,engagement,"{{W4_SAT_TARGET}}","{{W4_SAT_DRAFT}}","Afternoon",""
4,Sunday,1,thread,pillar_1,"{{W4_SUN_HOOK}}","{{W4_SUN_DRAFT}}","Mid-morning","Month-end reflection and what is next"
